Nom en français,ISO 639-2
afar,aar
abkhaze,abk
aceh,ace
acoli,ach
adangmé,ada
adyghé,ady
langues afro-asiatiques,afa
afrihili,afh
afrikaans,afr
aïnou,ain
akan,aka
akkadien,akk
albanais,alb
aléoute,ale
langues algonquiennes,alg
altaï du Sud,alt
amharique,amh
"anglo-saxon (environ 450-1100), ancien anglais",ang
angika,anp
langues apaches,apa
arabe,ara
araméen d'empire (700-300 BCE),arc
aragonais,arg
arménien,arm
"mapudungun, mapouche, mapuce",arn
arapaho,arp
langues artificielles,art
arawak,arw
assamais,asm
"asturien, bable, léonais, asturoléonais",ast
langues athapascanes,ath
langues australiennes,aus
avar,ava
avestique,ave
awadhi,awa
aymará,aym
azéri,aze
langues banda,bad
langues bamilékées,bai
bachkir,bak
baloutche,bal
bambara,bam
balinais,ban
basque,baq
basa,bas
langues baltes,bat
bedja,bej
biélorusse,bel
bemba,bem
bengalî,ben
langues berbères,ber
bhodjpouri,bho
bihari,bih
bikol central,bik
"bini, edo",bin
"bichelamar, bêche-de-mer",bis
blackfoot (siksika),bla
langues bantoues,bnt
bosniaque,bos
braj basha,bra
breton,bre
langues batak,btk
bouriate,bua
bugi,bug
bulgare,bul
birman,bur
"blin, bilen",byn
caddo,cad
langues indiennes d'Amérique centrale,cai
"galibi, carib, karib",car
catalan,cat
langues caucasiennes,cau
cébouano,ceb
langues celtiques,cel
chamorro,cha
chibcha,chb
tchétchène,che
djaghataï,chg
Chinois,chi
chuuk,chk
mari,chm
chinook jargon,chn
choctaw,cho
chipewyan,chp
cherokee,chr
"slavon d'église, vieux slave, slavon liturgique, vieux bulgare",chu
tchouvache,chv
cheyenne,chy
langues chames,cmc
monténégrin,cnr
copte,cop
cornique,cor
corse,cos
créoles et pidgins basés sur l'anglais,cpe
créoles et pidgins basés sur le français,cpf
créoles et pidgins basés sur le portugais,cpp
cree,cre
tatar de Crimée,crh
créoles et pidgins,crp
cachoube,csb
langues couchitiques,cus
tchèque,cze
dakota,dak
danois,dan
dargwa,dar
langues Land Dayak,day
delaware,del
slavey (langue),den
dogrib,dgr
dinka,din
maldivien,div
dogri (kangri),doi
langues dravidiennes,dra
bas-sorabe,dsb
douala,dua
"Néerlandais, moyen (environ 1050-1350)",dum
"néerlandais, flamand",dut
dioula,dyu
dzongkha,dzo
éfik,efi
égyptien ancien,egy
ekajuk,eka
élamite,elx
anglais,eng
"Anglais, moyen (1100-1500)",enm
espéranto,epo
estonien,est
éwé,ewe
éwondo,ewo
fang,fan
féroïen,fao
fanti,fat
fidjien,fij
filipino,fil
finnois,fin
langues finno-ougriennes,fiu
fon,fon
français,fre
moyen français (1400-1600),frm
ancien français (842-environ 1400),fro
frison septentrional,frr
frison oriental,frs
frison occidental,fry
peul,ful
frioulan,fur
ga,gaa
gayo,gay
gbaya,gba
langues germaniques,gem
géorgien,geo
allemand,ger
guèze,gez
gilbertin,gil
"gaélique écossais, Gaélique",gla
irlandais,gle
galicien,glg
"mannois, manx",glv
moyen haut-allemand (environ 1050-1500),gmh
vieux haut allemand (environ 750-1050),goh
gondi,gon
gorontalo,gor
gotique,got
grébo,grb
grec ancien (jusqu'à 1453),grc
grec moderne (après 1453),gre
guarani,grn
